country,url,status,code,note
United Kingdom,https://www.lingua-learn.co.uk/,REDIRECT_OTHER,200,Redirected to lingua-learn.co.uk | Title: Online Language Learning For The UK | Language Training UK
United Arab Emirates,https://www.lingua-learn.ae/,REDIRECT_OTHER,200,Redirected to lingua-learn.ae | Title: Online Language Institute – Dubai & Abu Dhabi | Lingua Learn
Oman,https://www.lingua-learn.om/,REDIRECT_OTHER,200,Redirected to lingua-learn.om | Title: Lingua Learn Oman – Virtual Training in Oman
Qatar,https://www.lingua-learn.qa/,REDIRECT_OTHER,200,Redirected to lingua-learn.qa | Title: Online Courses in Qatar for Flexible Language Learning
Czechia,https://lingua-learn.cz/,OK,200,Title: Trusted Czech Language Courses Platform with Expert Tutors
Italy,https://www.lingua-learn.it/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Spain,https://www.lingua-learn.es/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Switzerland,http://www.lingua-learn.ch/,REDIRECT_OTHER,200,Redirected to lingua-learn.ch | Title: Online language courses in Switzerland - Best Institute
Netherlands,http://www.lingua-learn.nl/,REDIRECT_OTHER,200,Redirected to lingua-learn.nl | Title: Language Programs Online in Netherlands | Lingua Learn Nederland
Turkey,https://www.lingua-learn.com.tr/,REDIRECT_OTHER,200,Redirected to lingua-learn.com.tr | Title: Online Dil Kursları - Lingua Learn Türkiye
Portugal,https://www.lingua-learn.pt/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Germany,http://www.lingua-learn.de/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Austria,http://www.lingua-learn.at/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Armenia,http://www.lingua-learn.am/,OK,200,Title: Գլխավոր էջ - Lingua Learn Armenia
Greece,http://www.lingua-learn.gr/,REDIRECT_OTHER,200,Redirected to lingua-learn.gr | Title: Online Course Platforms for Language & Skill Training | Lingua Learn
France,http://www.lingua-learn.fr/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Hong Kong,http://www.lingua-learn.com.hk/,REDIRECT_OTHER,200,Redirected to lingua-learn.com.hk | Title: Hong Kong Language Learning Center | Online Courses
Indonesia,http://www.lingua-learn.id/,REDIRECT_OTHER,200,Redirected to lingua-learn.id | Title: Online Course Platforms for Effective Learning | Lingua Learn Indonesia
Vietnam,http://www.lingua-learn.vn/,REDIRECT_OTHER,200,Redirected to lingua-learn.vn | Title: Language Institute in Vietnam | Online Courses by Lingua Learn Vietnam
Singapore,https://www.lingua-learn.sg/,REDIRECT_OTHER,200,Redirected to lingua-learn.sg | Title: Language Courses in Singapore for Professionals
Philippines,https://lingua-learn.ph/,OK,200,Title: Language Institute in Philippines | Online Courses by Lingua Learn Philippines
Thailand,http://www.lingua-learn.in.th/,OK,200,Title: Language Training Institute in Thailand – Virtual Training in Thailand
Japan,http://www.lingua-learn.jp/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
South Korea,http://www.lingua-learn.kr/,REDIRECT_MAIN,200,Redirected to .com (lingua-learn.com) | Title: Trusted Online Language Institute and Corporate Training
Malaysia,http://www.lingua-learn.my/,OK,200,Title: Language Training Specialist in Malaysia | Lingua Learn Malaysia
South Africa,http://www.lingua-learn.co.za/,OK,200,Title: Language Training Institute in South Africa – Virtual Training in South Africa
New Zealand,http://www.lingua-learn.nz/,OK,200,Title: Learn a Language Online in New Zealand | Lingua Learn NZ
Belgium,https://www.lingua-learn.be/,OK,200,Title: Top Online Course Platforms In Belgium For Language & Skills
Bulgaria,http://www.lingua-learn.bg/,OK,200,Title: Онлайн Обучение по Езици и Умения | Lingua Learn България
Hungary,http://www.lingua-learn.hu/,REDIRECT_OTHER,200,Redirected to lingua-learn.hu | Title: Lingua Learn: Best Online Course Platform to Learn Languages
Australia,http://www.lingua-learn.au/,OK,200,Title: Language School Online | Lingua Learn Australia
Azerbaijan,http://www.lingua-learn.az/,REDIRECT_OTHER,200,Redirected to lingua-learn.az | Title: Azərbaycanda Onlayn Dil Kurslari | Dil İnstitutu | Brand mismatch (title doesn't contain 'lingua/learn')
Cambodia,http://www.lingua-learn.asia/,OK,200,Title: Lingua Learn Cambodia | វគ្គសិក្សាភាសាអនឡាញ និងក្រុមហ៊ុន
Taiwan,http://www.lingua-learn.tw/,REDIRECT_OTHER,200,Redirected to lingua-learn.tw | Title: Lingua Learn Taiwan | Professional Language School
Malta,http://www.lingua-learn.mt/,REDIRECT_OTHER,200,Redirected to lingua-learn.mt | Title: Lingua Learn Malta Language School for Online Learning
Canada,http://www.lingua-learn.ca/,REDIRECT_OTHER,200,Redirected to lingua-learn.ca | Title: Master Language Learning With Confidence – Lingua Learn
Poland,https://www.lingua-learn.pl/,REDIRECT_OTHER,200,Redirected to lingua-learn.pl | Title: Nowoczesna nauka języków online | Lingua Learn Poland
United States,http://www.lingua-learn.us/,REDIRECT_OTHER,200,Redirected to lingua-learn.us | Title: Lingua Learn USA | Online Language Courses in the USA
Jordan,http://www.lingua-learn.jo/,REDIRECT_OTHER,200,Redirected to lingua-learn.jo | Title: Learn Language Online in Jordan - Lingua Learn Jordan
Colombia,https://www.lingua-learn.co/,REDIRECT_OTHER,200,Redirected to lingua-learn.co | Title: Cursos de Idiomas en Línea - Lingua Learn Colombia
Brazil,https://www.lingua-learn.com.br/,BRAND_MISMATCH,200,Title: Home | Brand mismatch (title doesn't contain 'lingua/learn')
Cyprus,https://lingua-learn.com.cy,OK,200,Title: Online Language Courses In Cyprus | Lingua Learn
Romania,#,COMING_SOON,,COMING_SOON
Chile,https://www.lingua-learn.cl/,REDIRECT_OTHER,200,SSL_ERROR (cert invalid) — page readable | Redirected to lingua-learn.cl | No title
Lithuania,https://www.lingua-learn.lt/,REDIRECT_OTHER,200,SSL_ERROR (cert invalid) — page readable | Redirected to lingua-learn.lt | No title
Costa Rica,https://www.lingua-learn.cr/,CONNECTION_ERROR,,[Errno -2] Name or service not known
Kenya,#,COMING_SOON,,COMING_SOON
Romania,#,COMING_SOON,,COMING_SOON
Kenya,#,COMING_SOON,,COMING_SOON
